case,addends,subtrahends,expected
span_020,03d0ee3ee45ef2a0*1 03e1d67b5aa9a5f8*1 03c58798dd905299*1,03e1d67b5aa9a5f8*1,03dbb20b53271bec
span_021,043ec3048eb2e7b7*1 041e6e1efef648f7*1 044f089d940d639c*1 03f53460f2e6eafd*1 04080357e975755c*1 042997e88a842f29*1,03f53460f2e6eafd*1 041e6e1efef648f7*1,045b2827be4f9d4c
span_022,0438aa463c1091c5*1 044c485cea46693e*1 042f907e9e1f8078*1,0438aa463c1091c5*1 044c485cea46693e*1,042f907e9e1f8078
span_023,047b0ada76e721ed*1 0465a2b98d635c87*1 0484e175be14401b*1 045e02aab365f2c3*1 04aa446d11a94916*1 049e17eb9f4f3df8*1,0465a2b98d635c87*1 04aa446d11a94916*1 045e02aab365f2c3*1,04a7a5ae8e099340
span_024,04ac2b86b6feb147*1 0489aa1a2d97ee0b*1 0499ffb69e7fbb94*1,0489aa1a2d97ee0b*1,04b495b1031f4788
span_025,04d913697c612c0a*1 050ef48f3b2a5634*1 04f52f2e97d4294f*1 04b38f1dade8cb17*1 04eb83092fd689ac*1 04cd2c310bad80e9*1,04b38f1dade8cb17*1 04cd2c310bad80e9*1,0519c7ab014b1964
span_026,052d7c441b8445d4*1 0517787b82bfd3df*1 04efe5cc88f23999*1 04fd7e3b80ae2e95*1 050e4407d8270c0e*1,050e4407d8270c0e*1 04fd7e3b80ae2e95*1 052d7c441b8445d4*1 0517787b82bfd3df*1,04efe5cc88f23999
span_027,053d8c29f1df1793*1 05403bc13c215b47*1 0553547f5e259961*1 051c0a7d0922269d*1 0524cfd4886d8c03*1 056d27de4c0a4f86*1,051c0a7d0922269d*1 05403bc13c215b47*1,0575e85040efebf5
span_028,055dbc42aa15491c*1 054c9bdddad5bff8*1 056106b0a88ea7ac*1,,057385e4ba275e1c
span_029,058fea766ff90a2a*1 05bd4e98075464ce*1 05a1b84d2fa2e7bf*1 059f35317b9da66d*1 057859221b635f14*1,057859221b635f14*1 05bd4e98075464ce*1 05a1b84d2fa2e7bf*1,05a7953659cd15c1
span_030,05a7181ad85c0d52*1 05bf4e978eadc86b*1 05f6711d9a2362af*1 05ed95cc0e6d50f2*1 05cee76afb4e5c69*1 05dcc8236ef26d26*1,05ed95cc0e6d50f2*1,060216df127bc33b
span_031,0609517c1cd68f4d*1 05dc1dff1a20d889*1 061e09c2b904a1ee*1 05f2a91b457ad9d0*1 05e6a62fea4721fd*1,0609517c1cd68f4d*1 05e6a62fea4721fd*1,06223af4be02b2f5
span_032,061668bb187cef11*1 0629a41f06f4cde8*1 060fe13ef1186429*1,061668bb187cef11*1 060fe13ef1186429*1,0629a41f06f4cde8
span_033,065895c64a53a0b0*1 06333cc8566d360d*1 066049bf1dd92579*1 06469b186557254f*1,065895c64a53a0b0*1 06469b186557254f*1 066049bf1dd92579*1,06333cc8566d360d
span_034,066bfcb28d34c519*1 06935db5c74cd872*1 06872473226a265f*1 06bbba0e4060ebab*1 06a918b6de632b0b*1 067a796622429d5b*1,06872473226a265f*1 06bbba0e4060ebab*1,06b3eb44d7929ba0
span_035,06a11ff818791d4f*1 0694032b403bbb9d*1 06b355208bcacc0a*1 06caad0f5e2e513e*1,06a11ff818791d4f*1,06d36c02860d975b
span_036,06c4c6f04fab58e0*1 06e0a8df73eb71b7*1 06f960791bee23c3*1 06d9edc566255caf*1,06e0a8df73eb71b7*1 06f960791bee23c3*1 06d9edc566255caf*1,06c4c6f04fab58e0
span_037,070abf118e05d25d*1 0714816f1f46768e*1 06fe598ceb8cd4c7*1,06fe598ceb8cd4c7*1 0714816f1f46768e*1,070abf118e05d25d
span_038,074f225a3537becb*1 072f01c0a94c6cd3*1 0758a9e571220567*1 073d4edcc262649c*1 0760d39d83d2503b*1,074f225a3537becb*1,07716143efa23328
span_039,07637b6e6a41da4f*1 07768f5790912fc2*1 079d66b5f498d85d*1 07837e9670dde151*1 0753768532093163*1,07637b6e6a41da4f*1 07837e9670dde151*1 07768f5790912fc2*1,079e9e1e47b96b73
span_040,0786c6f7a26fa7e5*1 07a75d26d7ebdef5*1 07b4db0fc1bfe18a*1 07cb664583c3d795*1 079d14f497a2bb23*1,07cb664583c3d795*1 07a75d26d7ebdef5*1 07b4db0fc1bfe18a*1,07a43c38346d478b
span_041,07b708e45edf2fcd*1 07d05917fcf42d37*1 07c2f873f0ced06e*1,,07df978b0d136161
span_042,07e76f93959a7fb5*1 07f064b6e9a9c8f6*1 080744f396a122bc*1 081cfbd27b013077*1,081cfbd27b013077*1 080744f396a122bc*1,07fc1c80b47708d0
span_043,0837ef483ab28177*1 084bebcabc10c71f*1 086a3350e896c557*1 082bd005a74785f4*1 0859a31a451dabdb*1 081d9718799aa61b*1,081d9718799aa61b*1,08795d5d0dfa4acd
span_044,0862655b528c37dc*1 084cac43c8f95c29*1 085419345c16a5df*1,084cac43c8f95c29*1 0862655b528c37dc*1,085419345c16a5df
span_045,0881caca5afe9df5*1 087ee24606124a2d*1 08ac75e9f92c9395*1 0896a6f6959f8158*1,0881caca5afe9df5*1 087ee24606124a2d*1 08ac75e9f92c9395*1,0896a6f6959f8158
span_046,08ca05a8622819d2*1 08af4d47cdf08396*1 08ecd6f4f9b9170b*1 08fe9fe3090848fc*1 08b794180c551c57*1 08d1403eb0a7d4cf*1,08ca05a8622819d2*1 08af4d47cdf08396*1,09096a57596a0dbd
span_047,08efc5baf320359f*1 091afc8262b5ac7b*1 092f498508f7528d*1 08f22c930c08ceb8*1 09012c661af7f4d3*1 08d9d3896f9534d0*1,091afc8262b5ac7b*1 08efc5baf320359f*1 08f22c930c08ceb8*1 08d9d3896f9534d0*1,0931ca4f47daa7e1
span_048,09341bd593720de0*1 092804ffc6c4d64e*1 090dc9724c208911*1 09464f444575ea7d*1 091f6f1e4e9f8924*1,091f6f1e4e9f8924*1 092804ffc6c4d64e*1 09464f444575ea7d*1 090dc9724c208911*1,09341bd593720de0
span_049,093cf68673d15ccc*1 0976cd4b6d6b7087*1 09468920a1e5c210*1 095a53e1ebbd6abf*1 096951f6d6d08811*1,093cf68673d15ccc*1 096951f6d6d08811*1,098019b3fe4bc1bc
span_050,09644cd0484acbf6*1 09a2f25ffea2e04c*1 09830c6fc76668e0*1 0972d860102d5d70*1 0993f5215bbd2609*1,0993f5215bbd2609*1 09830c6fc76668e0*1,09a69239052d38b9
span_051,09d61121c2096572*1 09c517bb141650e3*1 0993bb731a1863a1*1 09a5fa8319d2c369*1 09b9db4f29398f79*1,09b9db4f29398f79*1 0993bb731a1863a1*1 09c517bb141650e3*1 09a5fa8319d2c369*1,09d61121c2096572
span_052,09e305d9694f958d*1 09cda8d8c9406049*1 09d81f2784d33b57*1,,09f33fd1af04a5a5
span_053,0a199929292a832a*1 0a015953045f9f6b*1 09f1f078523fd920*1,0a015953045f9f6b*1 09f1f078523fd920*1,0a199929292a832a
span_054,0a4ad18af94a1b57*1 0a33740732a1fc85*1 0a2e3f0fdea21932*1 0a50f99f976db500*1,,0a6383a46e47c27a
span_055,0a54c94e0cd9d384*1 0a83a1fe1ee52a82*1 0a7f2fdeb373286b*1 0a6c1f8d2b171f35*1,0a54c94e0cd9d384*1 0a7f2fdeb373286b*1,0a8aa9e169aaf24f
span_056,0ab2c8499f2ee390*1 0aa86769b0bc5588*1 0a990683afe17f81*1 0a8bae166c371c0c*1,0a990683afe17f81*1 0aa86769b0bc5588*1,0ab63e0c6cb5c712
span_057,0ace1d8fe9468692*1 0ab40d0654e55d29*1 0ad2d7c7697d8364*1,0ab40d0654e55d29*1,0ae0f347af106356
span_058,0ae17815204290e4*1 0b23d09d2bd3fbfa*1 0b19c161c3efc07b*1 0afe4d5bb5ccbb7d*1 0b00f19c7cbda940*1,0ae17815204290e4*1 0b19c161c3efc07b*1 0afe4d5bb5ccbb7d*1 0b00f19c7cbda940*1,0b23d09d2bd3fbfa
span_059,0b173e571e8c1c5f*1 0b23d7599948f237*1 0b382f757a4e56bd*1,0b382f757a4e56bd*1,0b2f7685288f0066
span_060,0b88f93f8563fc46*1 0b483242b4dc1df5*1 0b72713764cabb12*1 0b6f5996e21031b4*1 0b5006b855697679*1,0b6f5996e21031b4*1 0b5006b855697679*1,0b91da7fb18b8dd7
span_061,0ba47b4be69d6aca*1 0bc2372cfd7e058f*1 0b983bad890430c6*1 0b75219e00cf543b*1 0bb761950b4b6ab0*1 0b82fe1279e6b211*1,0b82fe1279e6b211*1,0bd35ba68ef90b2a
span_062,0bcb20a3a3319908*1 0bb3d06dccef6485*1 0ba0a43ba0193656*1 0bd3254bf3ae7e74*1,0bb3d06dccef6485*1 0bd3254bf3ae7e74*1,0bcf49b28b37e69e
span_063,0bd1b4581641e24c*1 0be96670f1b9f9f7*1 0bfcd653533603b0*1 0c0c00711e608a5f*1,0bfcd653533603b0*1 0bd1b4581641e24c*1,0c112d06ad67846e
span_064,0c3ebc9bc13e33eb*1 0c46748ddf122eb4*1 0c23661f47297579*1 0c0f791a38a79138*1 0c1e2be449a3f6cb*1,0c3ebc9bc13e33eb*1 0c0f791a38a79138*1 0c46748ddf122eb4*1 0c1e2be449a3f6cb*1,0c23661f47297579
span_065,0c54f05b8e81b179*1 0c4239ebdba87fd3*1 0c3e8a1cfd3b599a*1,0c54f05b8e81b179*1 0c3e8a1cfd3b599a*1,0c4239ebdba87fd3
span_066,0c6481a5edeb8670*1 0c74c1e71bb17624*1 0c836898c9d647d1*1,0c836898c9d647d1*1,0c7f02ba12a7395c
span_067,0cdbf159dcc22cb6*1 0ce816b3cdf6e576*1 0cb36115e891254b*1 0cc309b38ba1ade6*1 0c9ace2258dabe3c*1 0ca70cb7aaa1f43c*1,0cdbf159dcc22cb6*1 0ce816b3cdf6e576*1 0c9ace2258dabe3c*1,0cd13eb635495ecd
span_068,0cdfff982f16aa6e*1 0ce080a018ff496d*1 0d17282ad71e3138*1 0cf490059b1f46e8*1 0d0ebfd54c69c9a8*1 0cc9ad061ac46ebc*1,0d0ebfd54c69c9a8*1 0d17282ad71e3138*1 0cc9ad061ac46ebc*1 0ce080a018ff496d*1,0cfc8feba6e4f184
span_069,0d3a78dfd22b9a24*1 0d148c51cf586233*1 0d064ae735baaafa*1 0cf815b38c593f86*1 0d45360965452c29*1 0d2358c178cf2e36*1,0d3a78dfd22b9a24*1 0d45360965452c29*1 0d148c51cf586233*1 0cf815b38c593f86*1,0d28eb7b463dd8f4
span_070,0d2a651652db1d2b*1 0d498ce2cc315edd*1 0d55898ed4134391*1 0d38f7bce29889c3*1,0d38f7bce29889c3*1 0d55898ed4134391*1 0d498ce2cc315edd*1,0d2a651652db1d2b
span_071,0d6a783c1e629b4a*1 0d7ba958d24475ae*1 0d5e9783bbc68954*1,,0d8845abe833b2d4
span_072,0db5a1e2676c690a*1 0d92254793c60bfa*1 0dc6ca9ab8bc110a*1 0d8ccab8675214e9*1 0dd850aea7af6cb8*1 0da4bd3487297baf*1,0d8ccab8675214e9*1 0db5a1e2676c690a*1 0da4bd3487297baf*1 0d92254793c60bfa*1,0de1dafe0206ba9e
span_073,0e090bf0f7f04cc5*1 0dce1997cf1e8691*1 0db0ceaf24574627*1 0df5e16cf47e583f*1 0ddd7f7cdfc8dbc4*1 0de43496f7dc7a7e*1,0df5e16cf47e583f*1 0e090bf0f7f04cc5*1 0db0ceaf24574627*1,0df53d5dadc44502
span_074,0e0ca11ed58ddb3d*1 0e1b11020c7e78b3*1 0e34668a0bd9c090*1 0df81fa915fccd35*1 0e2f0461b03fe80d*1 0de6824eec4dd19c*1,0e34668a0bd9c090*1 0de6824eec4dd19c*1 0e1b11020c7e78b3*1,0e34984f44317c41
span_075,0e12dc751a1191e9*1 0e23ab60b6ba4d01*1 0e34b539c46bbe21*1,,0e41a103b326a48e
span_076,0e444e3b008c8454*1 0e5e78bc0a37cf7f*1 0e6eb254d2c42efa*1,0e444e3b008c8454*1 0e5e78bc0a37cf7f*1,0e6eb254d2c42efa
span_077,0e7e8f3108660a2c*1 0ebfed8289591083*1 0ea065bb16860a35*1 0e8ebbbac5418fb4*1 0ec72cfa71f3959e*1 0e9751926a0612e0*1,0e8ebbbac5418fb4*1 0ebfed8289591083*1 0ec72cfa71f3959e*1,0eafe06a6c95d4ea
span_078,0eaf7a23271d1299*1 0ec414e1d22de354*1 0edd25ca8f701068*1 0eb65c7af9c4e3f7*1,0eaf7a23271d1299*1 0eb65c7af9c4e3f7*1,0ee3981dbc438109
span_079,0ed3309f3deaae11*1 0f0194fbbb04c44a*1 0eed6ff5b8be796e*1 0ef0aad9f0d3f84b*1 0f1b05826a8cda7c*1,0f1b05826a8cda7c*1 0eed6ff5b8be796e*1 0f0194fbbb04c44a*1,0ef57701c04ea3cf
span_080,0f161a21e0bcf156*1 0f21f5760c51d776*1 0f0021739622f352*1,0f0021739622f352*1 0f21f5760c51d776*1,0f161a21e0bcf156
span_081,0f4467e18b48aa89*1 0f67474aed25125b*1 0f5eceadbc909b0c*1 0f3f432a40fd6600*1 0f71f7b73bbc80b6*1 0f8fddd513d430cd*1,0f3f432a40fd6600*1 0f4467e18b48aa89*1,0f9942ac9246e490
span_082,0f9b001c0ad02311*1 0fa1d08a2d6634fa*1 0f745b5d60ac3bab*1 0fb8430929cf04ae*1 0f6610665232d674*1 0f8c040b89803505*1,0f8c040b89803505*1 0fb8430929cf04ae*1 0f745b5d60ac3bab*1 0fa1d08a2d6634fa*1,0f9dc228d5167de0
span_083,0fd008158f1e05d4*1 0fcc4e1fc366dff2*1 0fb891ceca87ca76*1 0fad966bd50ab752*1 0f9f2ec56d830b6a*1 0fe4d34dc9ce3353*1,0fd008158f1e05d4*1 0fcc4e1fc366dff2*1 0f9f2ec56d830b6a*1,0fe9beee606fd817
span_084,0fdfe6f74933a1ae*1 100421f65b28a1d5*1 0feee5004b3d6bb3*1 0fc388e2deeeba69*1 0ff1f7eff47575b2*1,0fdfe6f74933a1ae*1 0ff1f7eff47575b2*1 0fc388e2deeeba69*1,100bdb366df7fcc2
span_085,10184eafa91d7e06*1 0ff28f8f9f624af1*1 10056934febce2e6*1 102e2fa0e41a085d*1 103b5839bac716b9*1,10056934febce2e6*1 103b5839bac716b9*1 10184eafa91d7e06*1 0ff28f8f9f624af1*1,102e2fa0e41a085d
span_086,1030118a2125f59e*1 10235ff74bb141fd*1 105e0ae90e327f99*1 106baebfa1dbda00*1 1075e4a21e05a038*1 104590dbde3f085e*1,104590dbde3f085e*1 1075e4a21e05a038*1,1076f63270ea7650
span_087,106ff5c25727932d*1 105c8cd1b4802262*1 10810c82ab7965d6*1 10728f1b35c914ee*1,10810c82ab7965d6*1 106ff5c25727932d*1,1079b24fa2e91d86
span_088,109e8cbd86f972ba*1 10a27882dc08ec76*1 10b259cb775b0bba*1 1088ab116798326c*1 10cfe06028f484a9*1,10a27882dc08ec76*1 1088ab116798326c*1 10cfe06028f484a9*1 109e8cbd86f972ba*1 10b259cb775b0bba*1,0000000000000000
span_089,10ead1fc958ac4ce*1 10c3faba586802f1*1 10fe24b9612c2483*1 10d508ad2240c171*1 10b6faa86e41934e*1,10d508ad2240c171*1,1107be5cbef1503e
span_090,10f0a33a1e9191a7*1 10eea5b1391d8c8e*1 110d225f774d2c92*1 111db4ee941a8e6c*1 11236421d2bbb2f0*1,10f0a33a1e9191a7*1 110d225f774d2c92*1,1132147a182d6977
span_091,113c342ffca00a66*1 1111250231fb9204*1 112b047112149bf0*1,,1146ffd489149e70
span_092,114f8ef6b6b7ea78*1 115d12c904f9d42f*1 11607800b583f5c9*1,115d12c904f9d42f*1 11607800b583f5c9*1 114f8ef6b6b7ea78*1,0000000000000000
span_093,118a683373630de6*1 117b4ad91b84afa4*1 11ba50af0de1916f*1 11afa56af1049d63*1 119771e12cb71477*1,11afa56af1049d63*1 11ba50af0de1916f*1 119771e12cb71477*1,119406d00092b2dc
span_094,11e414df38a1062a*1 11c19fc92bc21e86*1 11df7f90cd69b75a*1 11b94b0db97c5ee2*1 11aa29b8f0304e09*1,,11f6844b983c7d1b
span_095,11e888e95c4d6763*1 121b7eb7ed71cc02*1 1202d7fb8703374b*1 11d2024169cd8aa5*1 11fd279f4476ce83*1,1202d7fb8703374b*1 121b7eb7ed71cc02*1 11e888e95c4d6763*1,1200d417cf751896
span_096,124a13ff8223c02d*1 123dcb991d41ba9b*1 121360f1b4108002*1 1229761af5dbe11d*1 120d3fe79d37f979*1,123dcb991d41ba9b*1 121360f1b4108002*1 124a13ff8223c02d*1 120d3fe79d37f979*1,1229761af5dbe11d
span_097,125ad88cf0eaccc3*1 124e1ca8eaea407b*1 126a7a147a2e69eb*1 1239e0aa24547694*1,124e1ca8eaea407b*1 1239e0aa24547694*1,1273f32d7951e826
span_098,12a71e19976a0bf5*1 1298673f26e60247*1 1266914b81e15e11*1 1275b5159baf7927*1 1286f256ba3aec10*1,1298673f26e60247*1 12a71e19976a0bf5*1 1266914b81e15e11*1,1290e670c4095452
span_099,12a14df1306644aa*1 12bed981f5111361*1 129bcd62ba311185*1 12cb059c7cb8c128*1,12a14df1306644aa*1 12cb059c7cb8c128*1,12c2e66d51ceabe1
span_100,12c518e50833f89a*1 12d8007c119d7932*1 12fc1e5b2afbda79*1 12e8dad5805e80c4*1,12d8007c119d7932*1 12e8dad5805e80c4*1,12fec177cc02598c
span_101,13265cb7e0731a23*1 12f650d472ec9e67*1 131fbfd457f43a9b*1 130fd8f7f7027620*1,130fd8f7f7027620*1 131fbfd457f43a9b*1,132926d26ed0adf0
span_102,133519d50af3937c*1 1329215d078e491e*1 134a15d5c7322200*1,134a15d5c7322200*1 1329215d078e491e*1,133519d50af3937c
span_103,1374e64a0aab929b*1 1367b37fe5d39cdb*1 13546b915f973057*1,13546b915f973057*1 1367b37fe5d39cdb*1,1374e64a0aab929b
span_104,13ae444682469865*1 1391bae311887d07*1 1388f772fba509b6*1,13ae444682469865*1,139e369c8f5b01e2
span_105,13b778b74c5bc5b8*1 13f58859f037e5f6*1 13e3f24939c9e51d*1 13d28ae51e7210ce*1 13cfcce96433e142*1,13cfcce96433e142*1,1402cde1a4bf8c8a
span_106,13fb5f5398737e9e*1 140621f66dcf25c4*1 13e87eb65e9b5d45*1,140621f66dcf25c4*1,1403cf5763e096a0
span_107,143f6c48b10464aa*1 14146353cbadddf8*1 1424cb1eb7ec5af7*1,14146353cbadddf8*1 1424cb1eb7ec5af7*1,143f6c48b10464aa
span_108,144e037d9c5a6fc1*1 145a402bdf67a0e8*1 146355bd5edcd3a3*1,145a402bdf67a0e8*1 146355bd5edcd3a3*1 144e037d9c5a6fc1*1,0000000000000000
span_109,1483277eb8e3f8f4*1 14b7e06d4ca60dce*1 1473fc641486b377*1 14986ff03558d4e8*1 14ac70dcc0449a8f*1,14986ff03558d4e8*1 1473fc641486b377*1 1483277eb8e3f8f4*1,14c30c6dd6642d8b
span_110,14c4fb3bc5e55a5c*1 14b53f3f83ff63c7*1 14a24cf7b2e26fc6*1,14c4fb3bc5e55a5c*1 14a24cf7b2e26fc6*1,14b53f3f83ff63c7
span_111,14e496b0ce1837e2*1 14f542a2ec606e7f*1 14d5f4f42bb6e87c*1,,1502859c2f2d2248
span_112,152531cc470b160c*1 155af17345d10e1e*1 1539200f32ea3d3c*1 1509b7846e4f87ff*1 1540ecd03160f01a*1 151b842522b4e12f*1,152531cc470b160c*1 1539200f32ea3d3c*1,1562f6ecea0fa83f
span_113,156b51b7bd814514*1 158bb98781f3011c*1 1545114d77063c23*1 153fb3e176bf603f*1 155ed46aa62bea6a*1 157f646416d22d07*1,156b51b7bd814514*1 155ed46aa62bea6a*1 1545114d77063c23*1,159634ac4c890951
span_114,15675e65d650416d*1 1579185067d3098b*1 15a0bfded1b0e7c2*1 1598cae71c27128d*1 15848b30609a3548*1,15a0bfded1b0e7c2*1 1598cae71c27128d*1,15937779050be534
span_115,15daf518411187d1*1 15ab439aacb95142*1 15c82f4c5747d21a*1 159df4cd9fcd4299*1 15b36c350cabb102*1,15daf518411187d1*1 15c82f4c5747d21a*1,15c4459ae57dd525
span_116,15cc21e182736f79*1 15e0e5d38d46f8a1*1 15dbf31e94c72d58*1,15e0e5d38d46f8a1*1 15cc21e182736f79*1,15dbf31e94c72d58
span_117,161ed3940ee293cf*1 15fdfedfb8676811*1 160aa2f488dc655b*1 16228fa3f637f7a1*1,160aa2f488dc655b*1 15fdfedfb8676811*1,1630fcb6fed4a0c4
span_118,1644b953fa7e4973*1 162c6ac68f893e72*1 163f0eec566d3c70*1,162c6ac68f893e72*1,1652206512da73d6
span_119,167bb79224db7015*1 1651d13c4e0a844a*1 1667a1c75c080f78*1 1688385a534bf862*1,1651d13c4e0a844a*1 1688385a534bf862*1 167bb79224db7015*1 1667a1c75c080f78*1,0000000000000000
span_120,16a8882be90e7579*1 169b80c0d7fff4fa*1 16b532538d2e8a07*1 1684e74c2270443f*1,16b532538d2e8a07*1 1684e74c2270443f*1,16b324462a8737fb
span_121,16e1da577e8de98e*1 16bc71d96d2eaad1*1 16df2b65b24ac778*1 16c4fb4070f94f0c*1,16e1da577e8de98e*1,16e862be23098cd9
span_122,171251f8756893e1*1 16f001b614e91ae5*1 170e5ba6a067f554*1 1724b59bfd3634ab*1 16ef12c0a7b6ce0b*1,170e5ba6a067f554*1,1730e7fd8281876c
span_123,1732650678b474f4*1 1724c20a8ab16081*1 17101d428c10fc7f*1,17101d428c10fc7f*1,173cc60bbe0d2534
span_124,17546dbe923d3fcd*1 177d76e88b48184e*1 176a43ccf44248ab*1 17432ce1d5a1ab52*1,17546dbe923d3fcd*1,17867f35a00eb907
span_125,178c0010e9fa4837*1 1799560738d03440*1 17a5efe3200a9825*1 177e28fb603b60ca*1,178c0010e9fa4837*1 1799560738d03440*1 17a5efe3200a9825*1 177e28fb603b60ca*1,0000000000000000
